Generación,Mejor Individuo,Fitness
1,"{'x1': 40.512177349553866, 'x2': 69.35136381964885, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 3933.69267623234, 'w4': 2461.3832258116845}",16743.886539932617
2,"{'x1': 40.512177349553866, 'x2': 69.35136381964885, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 3933.69267623234, 'w4': 2461.3832258116845}",16743.886539932617
3,"{'x1': 40.512177349553866, 'x2': 69.35136381964885, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 3933.69267623234, 'w4': 2461.3832258116845}",16743.886539932617
4,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 3933.69267623234, 'w4': 2461.3832258116845}",32143.322027468166
5,"{'x1': 40.512177349553866, 'x2': 69.35136381964885, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 3933.69267623234, 'w4': 2461.3832258116845}",16743.886539932617
6,"{'x1': 40.512177349553866, 'x2': 69.35136381964885, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 3933.69267623234, 'w4': 1559.0799163310244}",7720.853445126013
7,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 42.21416943299839, 'w3': 3933.69267623234, 'w4': 2461.3832258116845}",10095.682291607707
8,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 23.490178198594357, 'w3': 4637.827258960432, 'w4': 475.16652895999755}",12773.761616141539
9,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 42.21416943299839, 'w3': 3933.69267623234, 'w4': 2461.3832258116845}",10095.682291607707
10,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 3933.69267623234, 'w4': 1559.0799163310244}",23120.288932661562
11,"{'x1': 40.512177349553866, 'x2': 69.35136381964885, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 424.90788141262516, 'w3': 3933.69267623234, 'w4': 1602.0188304489343}",43506.659647388675
12,"{'x1': 40.512177349553866, 'x2': 69.35136381964885, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 424.90788141262516, 'w3': 3933.69267623234, 'w4': 35.6630287168716}",27843.101630068042
13,"{'x1': 40.512177349553866, 'x2': 69.35136381964885, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",42092.73151814392
14,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",57492.16700567947
15,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 4637.827258960432, 'w4': 475.16652895999755}",37630.000037162594
16,"{'x1': 40.512177349553866, 'x2': 69.35136381964885, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 161.5055072856977, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",42092.73151814392
17,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 129.46630244400546, 'w1': 21.206587022824618, 'w2': 189.19843433873473, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",64220.40002243484
