Generación,Mejor Posición Global,Fitness
1,"{'x1': 92.30466930970576, 'x2': 34.95628981911755, 'x3': 335.96761686810277, 'y1': 66.90947523910135, 'y2': 115.12033654706991, 'w1': 69.79700824047335, 'w2': 10.151819814157722, 'w3': 1605.2424153100262, 'w4': 4732.344217826827}",-32839.77434073909
2,"{'x1': 55.40791840422912, 'x2': 0, 'x3': 326.6239916872485, 'y1': 0, 'y2': 174.83604501635062, 'w1': 16.528595313282505, 'w2': 55.5774543295039, 'w3': 4016.0732517618158, 'w4': 1493.5562510697243}",19204.782827971147
3,"{'x1': 27.537837062990818, 'x2': 0, 'x3': 319.71388611945474, 'y1': 0, 'y2': 193.92639266436788, 'w1': 18.188788771594304, 'w2': 53.52383742622355, 'w3': 3969.640213099101, 'w4': 1559.0256993489918}",19204.782827971147
4,"{'x1': 90.40106228393437, 'x2': 0, 'x3': 350.3028702327373, 'y1': 0, 'y2': 230.2674514548923, 'w1': 0, 'w2': 24.214429574939317, 'w3': 5792.024352225622, 'w4': 406.76150526691595}",48120.585860886335
5,"{'x1': 120.38021417389024, 'x2': 0, 'x3': 295.6057362703757, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 59.211043904958956, 'w3': 6000, 'w4': 0}",78124.6388322323
6,"{'x1': 140.44358320287193, 'x2': 0, 'x3': 284.86340158577696, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 59.80681791290043, 'w3': 6000, 'w4': 0}",78124.6388322323
7,"{'x1': 128.57806747499535, 'x2': 0, 'x3': 286.98982757190475, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 79.47484856711876, 'w3': 6000, 'w4': 0}",78863.22183743623
8,"{'x1': 135.47474553750158, 'x2': 0, 'x3': 279.6480519253885, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 89.4922493679535, 'w3': 6000, 'w4': 0}",78863.22183743623
9,"{'x1': 140.16861746114134, 'x2': 0, 'x3': 301.8875733809909, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 109.13506749061152, 'w3': 6000, 'w4': 0}",84376.98047831544
10,"{'x1': 117.7535685790948, 'x2': 0, 'x3': 305.6277846173982, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 127.56408078851953, 'w3': 6000, 'w4': 0}",88381.52675069144
11,"{'x1': 100.68672647947542, 'x2': 0, 'x3': 310.57233372243536, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 179.02426426603117, 'w3': 6000, 'w4': 0}",91227.95222854061
12,"{'x1': 86.60772522928524, 'x2': 0, 'x3': 311.58957799637096, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 263.1879228711773, 'w3': 6000, 'w4': 0}",103428.70045711347
13,"{'x1': 94.03118752294498, 'x2': 0, 'x3': 248.53437379506943, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 354.0645108125471, 'w3': 6000, 'w4': 0}",117399.68256402048
14,"{'x1': 79.59603146900527, 'x2': 0, 'x3': 300.6979188695157, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 475.9553001984425, 'w3': 6000, 'w4': 0}",134315.32634519305
15,"{'x1': 90.94015683153091, 'x2': 0, 'x3': 307.07849971397223, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 585.2285569226817, 'w3': 6000, 'w4': 0}",147556.65534546055
16,"{'x1': 86.61911222531646, 'x2': 0, 'x3': 306.8476378403202, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 887.0060163367882, 'w3': 6000, 'w4': 0}",187167.0002068028
17,"{'x1': 86.07402520097365, 'x2': 0, 'x3': 334.8927901074475, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 1285.9165589740437, 'w3': 6000, 'w4': 0}",230372.5027709242
18,"{'x1': 88.88059459768515, 'x2': 0, 'x3': 345.82687027461213, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 1752.3873059808273, 'w3': 6000, 'w4': 0}",290600.99310586974
19,"{'x1': 84.2039657559823, 'x2': 0, 'x3': 357.54102203555146, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 2585.9002742632606, 'w3': 6000, 'w4': 0}",389583.7319168375
20,"{'x1': 82.98044753957977, 'x2': 0, 'x3': 377.79225041519754, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 3230.12091557042, 'w3': 6000, 'w4': 0}",471445.2936974622
21,"{'x1': 80.09156573465059, 'x2': 0, 'x3': 382.2110403362887, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 5050.4727305823, 'w3': 6000, 'w4': 0}",660001.2523692511
22,"{'x1': 79.8070376961234, 'x2': 0, 'x3': 385.01092839078876, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",943870.4299905149
23,"{'x1': 83.11076757515521, 'x2': 0, 'x3': 380.67644956641396, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",953744.6004005894
24,"{'x1': 82.4657443274844, 'x2': 0, 'x3': 366.26466913512195, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",956936.0962536373
25,"{'x1': 87.1984202378193, 'x2': 0, 'x3': 330.8605475549816, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",962411.846670392
26,"{'x1': 89.17024962717167, 'x2': 0, 'x3': 281.4938017679327, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",972461.2722402016
27,"{'x1': 92.12240463185366, 'x2': 0, 'x3': 269.9463853641499, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
